07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0571D420)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0571D4C8)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0571D570)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0571D618)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0571D6C0)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0571D768)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0571D810)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0571D8B8)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0571D960)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0571DA08)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0571DAB0)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0571DB58)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0571DC00)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0571DCA8)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0571DD50)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0571DDF8)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0571DEA0)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (0571DF48)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (0571DFF0)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (0571E098)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (0571E140)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (0571E1E8)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (0571E290)
07/08/2011 22:33:13 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
07/08/2011 22:33:13 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (0571E338)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'Vanilla/Titlebar' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'Vanilla/Button' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'Vanilla/FrameWindow' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'Vanilla/Editbox' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/VerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'Vanilla/VerticalScrollbarThumb' and RenderEffect ''. (0027D4C8)
